id;power;cordinates;antenna_Location_WGS84_E;antenna_Location_WGS84_N;type;building;streetNumber;street;town;district;state;country;postal
140;Mittel;POINT (2592206 1185131);46.81728561140421;7.3365063469675205;4G;Vifian AG; 28; Freiburgstrasse;Schwarzenburg Zust;; 3150; Schweiz; 3150
141;Gross;POINT (2557137 1203801);46.98388332408761;6.875229252234318;4G;;;Salle de spectacles;Corcelles NE;; 2035; Schweiz; 2035
142;Mittel;POINT (2661084 1245461);47.35716794843728;8.247162018309607;4G;;19; Allmendstrasse;Villmergen Grenzw.;; 5612; Schweiz; 5612
143;Gross;POINT (2592031 1212641);47.06474070169038;7.333726540772623;4G;;19; Bernstrasse;Suberg;; 3262; Schweiz; 3262
144;Mittel;POINT (2683140 1263438);47.516425967075115;8.542419224635923;4G;;2; Schaffhauserstrasse;Bülach;; 8180; Schweiz; 8180
145;Gross;POINT (2678695 1250444);47.40011536005546;8.481121348468008;4G;;;Klärwerk Werdhölzli;Zürich;; 8064; Schweiz; 8064
146;Gross;POINT (2632462 1127847);46.30124988668949;7.859970886386426;4G;;A9; Pomona;Visp Verkauf;; 3930; Schweiz; 3930
147;Mittel;POINT (2499685 1116766);46.194861015745346;6.139138696021917;4G;Université de Genève - Uni Mail; 40; Boulevard du Pont-d'Arve;Genève;; 1205; Schweiz; 1205
148;Gross;POINT (2617399 1185528);46.820677593755555;7.666636600652039;4G;;6; Schoubhus;Heimenschwand;; 3615; Schweiz; 3615
150;Mittel;POINT (2682344 1240934);47.31414169842744;8.527706357467178;4G;;16; Sihlquai;Adliswil 1 Zust;; 8134; Schweiz; 8134
152;Gross;POINT (2598220 1197128);46.92524600113516;7.415261830688364;4G;;69; Sägestrasse;Köniz;; 3098; Schweiz; 3098
153;Mittel;POINT (2611966 1267874);47.56146912399498;7.597616161933368;4G;;40; Hammerstrasse;Basel;; 4058; Schweiz; 4058
154;Mittel;POINT (2561708 1204550);46.99090072888216;6.935246595286768;4G;;;Beaulac;Neuchâtel 1;; 2001; Schweiz; 2001
155;Mittel;POINT (2632243 1170819);46.68781341742099;7.860120222491684;4G;;95; Höheweg;Interlaken Bönig.;; 3800; Schweiz; 3800
156;Mittel;POINT (2538254 1152487);46.52082609717215;6.6339712746055515;4G;;12; Rue Centrale;Lausanne;; 1003; Schweiz; 1003
157;Klein;POINT (2498708 1113569);46.16595966466977;6.127177938924657;4G;;;Lancy Sud / Carouge;Plan-les-Oua Pl. A;; 1228; Schweiz; 1228
158;Mittel;POINT (2540097 1151273);46.51007379187781;6.658145164853334;4G;;3; Avenue Charles Ferdinand Ramuz;Pully;; 1009; Schweiz; 1009
159;Mittel;POINT (2685038 1253930);47.43067728768242;8.56580118317947;4G;;87; Talackerstrasse;Glattbrugg;; 8152; Schweiz; 8152
160;Gross;POINT (2621592 1259939);47.48985854780275;7.725133941455802;4G;;;Wohnheim Windspiel;Liestal Zustellung;; 4410; Schweiz; 4410
161;Mittel;POINT (2625706 1170150);46.68207885585051;7.774631811199201;4G;;61; Staatsstrasse;Interlaken Bönig.;; 3800; Schweiz; 3800
162;Gross;POINT (2678066 1229911);47.215523580284454;8.469217843107366;4G;;16; Hasentalstrasse;Knonau;; 8934; Schweiz; 8934
163;Mittel;POINT (2676117 1236217);47.27246614865423;8.444557943525213;4G;;16; Industriestrasse;Affoltern a.A.Zust;; 8910; Schweiz; 8910
164;Mittel;POINT (2630285 1168645);46.66834904652033;7.834382424461848;4G;;;Lütscherenstrasse;Interlaken Bönig.;; 3800; Schweiz; 3800
166;Gross;POINT (2611729 1221592);47.145200093418104;7.593261734032811;4G;;;Solothurnstrasse;Willadingen;; 3425; Schweiz; 3425
167;Mittel;POINT (2555822 1145020);46.45505081823585;6.86362096041137;4G;;5; Chemin du Levant;La Tour-de-Peilz;; 1814; Schweiz; 1814
168;Sehr Klein;POINT (2631640 1170150);46.68182433688426;7.852191879152101;4G;;1; Rugenparkstrasse;Interlaken Bönig.;; 3800; Schweiz; 3800
169;Gross;POINT (2780008 1198556);46.91370896028862;9.801952891050297;4G;;;Prättigauerstrasse;Saas im Prättigau;; 7247; Schweiz; 7247
171;Sehr Klein;POINT (2590258 1192879);46.88695531600431;7.310814087044837;4G;;;Freiburgstrasse;Flamatt;; 3175; Schweiz; 3175
172;Gross;POINT (2694851 1255811);47.44625203084995;8.696250753732482;4G;;;Effretikon;Kemptthal;; 8310; Schweiz; 8310
173;Mittel;POINT (2710640 1273650);47.60419887616111;8.909986525075468;4G;;1; Haldenstrasse;Herdern;; 8535; Schweiz; 8535
174;Gross;POINT (2512926 1145632);46.4563470232021;6.305230622210192;4G;;;Chemin du Bois de Beaulieu;Gilly;; 1182; Schweiz; 1182
175;Sehr Klein;POINT (2682360 1244410);47.34540113675675;8.528556444246206;4G;Alterswohnheim Tannenrauch; 12; Mööslistrasse;Zürich;; 8038; Schweiz; 8038
177;Gross;POINT (2646070 1215233);47.0865060957958;8.045347526299883;4G;;1; Allmendhubel;Menznau;; 6122; Schweiz; 6122
179;Gross;POINT (2679641 1249669);47.39303178191491;8.493513796881276;4G;;182; Aargauerstrasse;Zürich;; 8048; Schweiz; 8048
181;Sehr Klein;POINT (2626503 1267064);47.55375970413856;7.790722226208223;4G;;;Rotes Haus;Rheinfelden 1 Zust;; 4310; Schweiz; 4310
182;Mittel;POINT (2683415 1247178);47.370162261521834;8.543031716334868;4G;;;Brunnen im Helmhaus;Zürich;; 8001; Schweiz; 8001
183;Klein;POINT (2615031 1224280);47.169311548091365;7.63688365130694;4G;;89; Winistorfstrasse;Hersiwil;; 4558; Schweiz; 4558
185;Sehr Klein;POINT (2717119 1095949);46.004943536768536;8.950589676206485;4G;Manor; 2; Piazza Dante Alighieri;Lugano;; 6901; Schweiz; 6901
186;Mittel;POINT (2529975 1154966);46.542308191110884;6.525712663899464;4G;;;Chemin des Vignes;Bremblens;; 1121; Schweiz; 1121
187;Gross;POINT (2625895 1249858);47.399035230420616;7.781647548249723;4G;;;Chuttengasse;Bennwil;; 4431; Schweiz; 4431
188;Gross;POINT (2630691 1181304);46.782202537508454;7.840533638302185;4G;;282; Unterschwand;Eriz;; 3619; Schweiz; 3619
189;Gross;POINT (2625629 1243694);47.34360546061856;7.777771766092038;4G;;;Bärenwilerstrasse;Langenbruck;; 4438; Schweiz; 4438
190;Klein;POINT (2665442 1257506);47.465077775222156;8.306605070540883;4G;;59; Zürcherstrasse;Baden 1 PAD;; 5400; Schweiz; 5400
191;Sehr Klein;POINT (2677200 1257425);47.4630747198659;8.462525431821003;4G;;5; Wehntalerstrasse;Dielsdorf Zust;; 8157; Schweiz; 8157
192;Sehr Klein;POINT (2665940 1211710);47.05313965085947;8.306493810177157;4G;Manor; 5; Weggisgasse;Luzern SPS;; 6002; Schweiz; 6002
195;Sehr Klein;POINT (2615800 1159590);46.58739358842528;7.644793241711296;4G;;4; Dorfstrasse;Wengi b. Frutigen;; 3714; Schweiz; 3714
