Name;Transportunternehmen_Abkuerzung;Betriebspunkttyp_Bezeichnung;Verkehrsmittel_Bezeichnung;Gemeinde_Name;E;N;H;antenna_Location_WGS84_E;antenna_Location_WGS84_N;postal
Thalwil (See);ZSG;Haltestelle;Schiff;Thalwil;2685422;1239036;407;47.29668062752858;8.56804912254786;None
Sierre, Bonne Eau;BS;Haltestelle;Bus;Sierre;2606304;1126197;576;46.287159423376295;7.520442549367988;None
Stadel b. N., Zentrum;PAG;Haltestelle;Bus;Stadel;2677425;1264650;438;47.52802366480005;8.466764637975155;8174
Pully, Rosiaz;TL;Haltestelle;Bus;Pully;2540422;1152551;422;46.5215986646449;6.6622143183249065;1009
Sta. Maria in Calanca, Paese;PAG;Haltestelle;Bus;Santa Maria in Calanca;2731563;1124960;955;46.2631939903608;9.14514499761794;None
Pfäffikon ZH, Humbel;PAG;Haltestelle;Bus;Pfäffikon;2702850;1248770;689;47.38173210535176;8.8006682489565;None
Reichenbach b. B., Känelgasse;RBS;Haltestelle;Bus;Zollikofen;2600537;1204290;525;46.98967176584477;7.445690907251898;3052
Koblenz Dorf;SBB CFF FFS;Haltestelle;Zug;Koblenz;2660269;1273497;324;47.609383878341504;8.240164302540828;5322
Buttwil, Handlung Bartlome;PAG;Haltestelle;Bus;Buttwil;2666266;1235545;635;47.26748435529668;8.31428369196176;5632
Näfels, Post;PAG;Haltestelle;Bus;Glarus Nord;2723401;1217782;436;47.09953863822312;9.064251218116272;None
Obfelden, Bachstrasse;PAG;Haltestelle;Bus;Obfelden;2674644;1235169;436;47.26320879688013;8.42491940025057;8912
La Tour-de-Trême, Le Closalet;TPF;Haltestelle;Bus;Bulle;2572066;1161239;720;46.60182517396635;7.074064476819719;1631
Simplon Dorf, Maschihüs;PAG;Haltestelle;Bus;Simplon;2646400;1118247;1622;46.21407758038072;8.039913321910841;None
Les Planches (Aigle), gare;TPC;Haltestelle;Bus;Ormont-Dessous;2570493;1133756;941;46.35453413359768;7.055293267532992;None
Buchs SG, Bahnhofstrasse Ost;BOS;Haltestelle;Bus;Buchs (SG);2754540;1226001;496;47.166906853296496;9.477107367188433;None
Obernau, Stampfeli;VBL;Haltestelle;Bus;Kriens;2662079;1209566;536;47.034228128193135;8.255387796941443;6011
Füllinsdorf, Friedhofweg;AAGL;Haltestelle;Bus;Füllinsdorf;2621928;1261786;323;47.50645907818281;7.729683078112867;4414
Ebmatingen, Dorf;VBZ;Haltestelle;Bus;Maur;2690846;1245200;608;47.35139109415269;8.641001381018091;8124
Liebefeld;BLS;Haltestelle und Bedienpunkt;Zug;Köniz;2598504;1197658;563;46.93001419278175;7.418988866380927;3098
Wiesendangen, Wasserfuri;SBW;Haltestelle;Bus;Wiesendangen;2701178;1264845;468;47.52654880378222;8.782175346673;8542
Besenbüren, Schulhaus;PAG;Haltestelle;Bus;Besenbüren;2668364;1240821;461;47.31472220777861;8.342807953096509;5627
Gossau SG, Kirchstrasse;REGO;Haltestelle;Bus;Gossau (SG);2737076;1253326;638;47.41646563840449;9.255178278258985;None
Les Brenets, bif Les Recrettes;PAG;Haltestelle;Bus;Le Locle;2545930;1214445;1052;47.07880221022873;6.72665661356569;None
Remigen, Abzw. Ueberthal;PAG;Haltestelle;Bus;Remigen;2654308;1262484;424;47.51086075620279;8.159546104412438;5236
Winterthur Wülflingen, Bahnhof;SBW;Haltestelle;Bus;Winterthur;2693589;1262505;422;47.50663076577738;8.680925881985694;8410
Auvernier, Pacotte;TRN;Haltestelle;Bus;Milvignes;2556951;1202892;452;46.97569490053731;6.872870865837228;None
Kappelen, Oberdorf;PAG;Haltestelle;Bus;Kappelen;2586616;1211769;445;47.056809190261504;7.262469644751065;3273
Menzberg, Dorfplatz;PAG;Haltestelle;Bus;Menznau;2642472;1210093;1015;47.04051335355108;7.99748377386828;6122
Risch, Landhaus;ZVB;Haltestelle;Bus;Risch;2677705;1219000;425;47.11743259312081;8.462573345354013;None
Loc, bif.;SMC;Haltestelle;Bus;Crans-Montana;2605650;1126268;634;46.2878038620711;7.51195732178246;None
Vechigen;RBS;Haltestelle;Zug;Vechigen;2608966;1199490;582;46.94643563808399;7.556400808666608;None
Lausanne, Foyer;TL;Haltestelle;Bus;Lausanne;2540268;1153865;650;46.53340454057424;6.660037250928987;1012
Kloten, Kirchgasse;VBG;Haltestelle;Bus;Kloten;2686440;1256408;439;47.452779583346754;8.584861806696791;None
Hasliberg Wasserwendi, Twing;PAG;Haltestelle;Bus;Hasliberg;2657810;1177360;1160;46.74492627002254;8.195142102187608;None
Marsens, village;TPF;Haltestelle;Bus;Marsens;2571367;1167320;722;46.65649672865726;7.064562159662497;1633
Zermatt, Bahnhof;EBZ;Haltestelle;Bus;Zermatt;2623993;1097005;1605;46.02416617426648;7.748475014774841;None
Marthalen;SBB CFF FFS;Haltestelle und Bedienpunkt;Zug;Marthalen;2691501;1276345;414;47.63138215832981;8.656064462854632;8460
Pieterlen, Gemeindehaus;asm;Haltestelle;Bus;Pieterlen;2592272;1224875;445;47.17478667583875;7.336687694089105;2542
Walzenhausen, Hasenbrunnen;PAG;Haltestelle;Bus;Walzenhausen;2763745;1257048;665;47.44383488187401;9.609798975770154;9428
Oberkirch LU, CAMPUS Sursee;PAG;Haltestelle;Bus;Oberkirch;2649423;1223601;536;47.16153096465583;8.090417580059727;None
Pringy, village;TPF;Haltestelle;Bus;Gruyères;2571586;1158735;770;46.579280236919686;7.067954865740626;None
Rolle, Les Eaux;PAG;Haltestelle;Bus;Rolle;2515456;1146153;390;46.46135777203081;6.33806305179029;None
Grüt (Gossau ZH), Grünau;VZO;Haltestelle;Bus;Gossau (ZH);2701457;1240549;500;47.30801654160079;8.780362783404456;None
Bern, Pillonweg;SVB;Haltestelle;Bus;Bern;2600695;1201802;524;46.96729175959141;7.447764494510169;3029
Oftringen, Bühnenberg-Sonnmatt;AVA;Haltestelle;Bus;Oftringen;2638273;1238784;426;47.29883197246033;7.944666303602913;None
Münchenstein,Motorfahrzeug-Prü;BLT;Haltestelle;Bus;Münchenstein;2612388;1263908;285;47.52579216585063;7.603113434644657;None
Les Brenets, bif Ferme Modéle;PAG;Haltestelle;Bus;Le Locle;2547212;1214803;1178;47.08212588712286;6.743494759029543;None
La Chaux-de-Fonds, Prés-Verts;TRN;Haltestelle;Bus;La Chaux-de-Fonds;2554994;1215924;1061;47.092784633966005;6.845855467135016;2305
Schöftland Nordweg, Bahnhof;AVA;Haltestelle;Bus;Schöftland;2646275;1240263;455;47.31162212713296;8.050616079083062;5040
Alpthal, Rütli;PAG;Haltestelle;Bus;Alpthal;2696892;1213490;1011;47.065347182697735;8.714186218421762;8849
