id;power;cordinates;antenna_Location_WGS84_E;antenna_Location_WGS84_N;building;streetNumber;street;town;district;state;country;postal;type
4224;Mittel;POINT (2593170 1188487);46.847484651016785;7.349087321511687;;21b; Niedereichiweg;Lanzenhäusern;; 3148; Schweiz; 3148;5G
4225;Mittel;POINT (2563662 1128678);46.308519205941806;6.966945819730374;;38; Route d'Ollon;Aigle Distribution;; 1860; Schweiz; 1860;5G
4226;Mittel;POINT (2639066 1244504);47.35023235802212;7.9556487373232665;;69; Bodenackerstrasse;Dulliken;; 4657; Schweiz; 4657;5G
4227;Mittel;POINT (2681839 1241385);47.31826063475318;8.521110363781291;;13; Soodring;Adliswil 1 Zust;; 8134; Schweiz; 8134;5G
4228;Mittel;POINT (2644925 1184355);46.80883969668945;8.027221273177872;Bergstation Gondelbahn Rossweid; 1; Sonnentauweg (Mooraculum);Sörenberg;; 6174; Schweiz; 6174;5G
4229;Mittel;POINT (2744977 1254795);47.42798122617432;9.360319586420143;;A1; Rosenberg;St. Gallen Lachen;; 9013; Schweiz; 9013;5G
4230;Klein;POINT (2688736 1205382);46.993565839081874;8.605244564004314;;1; Waldstätterquai;Brunnen Zust;; 6440; Schweiz; 6440;5G
4231;Mittel;POINT (2731394 1264304);47.516335928486114;9.183139499806758;;;Anwachs;Schönenberg TG;; 9215; Schweiz; 9215;5G
4232;Mittel;POINT (2554355 1151168);46.51025568722115;6.843919268297058;;;Chemin d'En-Faye;Attalens;; 1616; Schweiz; 1616;5G
4233;Mittel;POINT (2650552 1245038);47.354255005183006;8.107715214284054;;1; Oberfeldstrasse;Gränichen Zust;; 5722; Schweiz; 5722;5G
4234;Klein;POINT (2638578 1247641);47.378475550219505;7.949460423924643;;10; Hauptstrasse;Lostorf;; 4654; Schweiz; 4654;5G
4235;Mittel;POINT (2534040 1174032);46.71422057515101;6.575966452236022;;34; Route d'Yverdon;Chavornay;; 1373; Schweiz; 1373;5G
4236;Mittel;POINT (2682779 1247344);47.37173536223552;8.534642932810355;;80; Talstrasse;Zürich;; 8001; Schweiz; 8001;5G
4237;Mittel;POINT (2500431 1117427);46.20091719400165;6.148659851792196;Cathédrale Saint-Pierre; 8; Cour de Saint-Pierre;Genève;; 1204; Schweiz; 1204;5G
4238;Gross;POINT (2620902 1236955);47.28315886127972;7.714907196164068;;28; Nordringstrasse;Oensingen Hub;; 4702; Schweiz; 4702;5G
4239;Mittel;POINT (2602183 1196075);46.91577326572009;7.467290349667394;;99; Bernstrasse;Kehrsatz;; 3122; Schweiz; 3122;5G
4240;Mittel;POINT (2530453 1182427);46.78936706291081;6.527780503357644;;22; Chemin du Contornet;Baulmes;; 1446; Schweiz; 1446;5G
4241;Mittel;POINT (2654370 1251662);47.413526593615124;8.159050813541494;;;Industriestrasse;Wildegg Poststr;; 5103; Schweiz; 5103;5G
4242;Mittel;POINT (2610535 1267656);47.55953287989673;7.578597073871135;;20; Missionsstrasse;Basel;; 4055; Schweiz; 4055;5G
4243;Mittel;POINT (2541468 1181206);46.77944534341906;6.67219003153839;;41; Chemin de Noréaz;Yverdon Dist;; 1400; Schweiz; 1400;5G
4244;Mittel;POINT (2617572 1264596);47.53186216381464;7.671974781035062;;;WSH-2077;Muttenz Hauptstr;; 4132; Schweiz; 4132;5G
4245;Mittel;POINT (2537155 1152956);46.524942317279695;6.61958630999459;;24; Avenue de Morges;Lausanne;; 1004; Schweiz; 1004;5G
4246;Mittel;POINT (2591993 1224547);47.171833046685705;7.333013265899894;;35; Brühlweg;Pieterlen;; 2542; Schweiz; 2542;5G
4247;Mittel;POINT (2821139 1189055);46.81588607162972;10.336907843596313;Baselgia San Lurench; 79; Avant Baselgia;Sent;; 7554; Schweiz; 7554;5G
4248;Mittel;POINT (2528825 1163906);46.62260135635281;6.509338511276278;;;Rue de la Sarraz;Allens;; 1304; Schweiz; 1304;5G
4249;Mittel;POINT (2638325 1124523);46.27104064046966;7.9357923485103585;;;Sender Gebidem;Visperterminen;; 3932; Schweiz; 3932;5G
4250;Mittel;POINT (2682580 1239260);47.29905697020113;8.53051923989176;;61; Finsterrütistrasse;Sihlbrugg Station;; 8135; Schweiz; 8135;5G
4251;Sehr Klein;POINT (2680125 1247949);47.37750443316986;8.499615859991172;;170; Albisriederstrasse;Zürich;; 8003; Schweiz; 8003;5G
4252;Gross;POINT (2703441 1238091);47.28560339086209;8.806028819108908;;;Forchstrasse;Ottikon;; 8626; Schweiz; 8626;5G
